gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,24,No,Fiber optic,Two year,Yes,Electronic check,58.78,1315.72,0
Female,0,Yes,No,53,Yes,DSL,One year,Yes,Electronic check,57.55,3042.42,0
Male,0,No,No,67,Yes,No,Two year,Yes,Electronic check,20.35,1320.06,0
Male,0,Yes,No,59,No,Fiber optic,One year,Yes,Electronic check,61.66,3649.51,0
Male,0,Yes,No,53,Yes,DSL,One year,No,Credit card,63.17,3308.46,0
Male,0,Yes,No,56,Yes,Fiber optic,Month-to-month,No,Electronic check,75.58,4262.76,0
Female,0,Yes,No,58,Yes,DSL,Two year,No,Electronic check,57.82,3402.61,0
Male,0,Yes,No,21,Yes,DSL,Two year,No,Credit card,53.64,1186.62,0
Female,0,No,No,52,Yes,Fiber optic,Two year,No,Electronic check,69.25,3681.96,0
Female,0,Yes,Yes,15,Yes,DSL,One year,No,Electronic check,47.76,632.6,0
Male,1,Yes,Yes,26,Yes,Fiber optic,One year,Yes,Bank transfer,81.23,2052.03,0
Male,0,No,No,68,Yes,No,Month-to-month,No,Mailed check,34.06,2462.47,0
Female,0,Yes,Yes,21,Yes,No,Two year,Yes,Credit card,24.45,563.93,0
Male,0,Yes,No,61,Yes,DSL,Month-to-month,Yes,Bank transfer,66.58,4072.6,1
Male,1,Yes,No,31,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.42,2277.62,1
Female,0,Yes,No,16,Yes,DSL,Month-to-month,Yes,Bank transfer,38.85,618.76,0
Female,1,Yes,No,7,Yes,Fiber optic,One year,No,Credit card,61.23,331.92,1
Male,0,Yes,Yes,40,Yes,DSL,One year,Yes,Mailed check,36.5,1421.38,0
Male,0,Yes,No,33,Yes,Fiber optic,Month-to-month,No,Bank transfer,66.69,2195.18,1
Male,0,No,Yes,37,Yes,DSL,Month-to-month,Yes,Mailed check,48.14,1745.39,0
Female,0,Yes,No,4,Yes,No,Month-to-month,Yes,Mailed check,30.46,92.58,1
Female,0,No,No,20,Yes,No,Month-to-month,Yes,Bank transfer,24.77,623.34,0
Female,0,No,No,1,No,DSL,Month-to-month,Yes,Electronic check,56.75,44.17,0
Female,0,Yes,No,22,Yes,Fiber optic,One year,No,Mailed check,70.36,1561.83,0
Female,1,Yes,No,68,Yes,DSL,Month-to-month,Yes,Electronic check,55.11,3759.61,0
Male,0,No,No,11,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,65.38,748.65,0
Male,0,No,No,50,Yes,DSL,Month-to-month,Yes,Bank transfer,61.38,3045.14,1
Female,0,Yes,No,1,Yes,DSL,Month-to-month,No,Electronic check,37.75,100.1,0
Female,0,No,Yes,41,No,Fiber optic,Two year,No,Electronic check,72.41,2990.99,0
Female,0,No,Yes,67,Yes,Fiber optic,Month-to-month,No,Credit card,68.55,4528.49,0
Male,1,Yes,No,25,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.25,2025.87,1
Male,0,Yes,Yes,15,No,Fiber optic,One year,No,Electronic check,69.83,1038.84,0
Male,0,No,No,42,Yes,DSL,Month-to-month,Yes,Electronic check,50.07,2092.03,0
Male,0,Yes,No,21,Yes,DSL,Two year,Yes,Bank transfer,47.87,1030.73,0
Female,0,No,No,65,Yes,Fiber optic,Two year,Yes,Electronic check,81.15,5306.49,1
Female,0,Yes,Yes,62,Yes,Fiber optic,One year,Yes,Credit card,70.02,4367.07,0
Male,0,No,No,47,Yes,DSL,Two year,Yes,Bank transfer,65.76,3107.67,0
Male,0,Yes,Yes,47,Yes,DSL,Month-to-month,Yes,Electronic check,52.18,2456.74,1
Female,1,Yes,No,44,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,75.17,3199.92,0
Male,1,Yes,No,53,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.84,3952.41,0
Female,1,Yes,Yes,34,No,No,Month-to-month,Yes,Electronic check,34.51,1197.76,0
Female,0,No,Yes,70,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,65.29,4521.06,0
Male,0,Yes,Yes,25,Yes,Fiber optic,Month-to-month,No,Electronic check,71.17,1793.28,0
Male,1,No,No,1,Yes,Fiber optic,Month-to-month,No,Credit card,75.07,107.47,1
Female,0,No,No,51,No,DSL,Month-to-month,Yes,Bank transfer,52.6,2741.16,0
Female,0,Yes,Yes,48,Yes,DSL,One year,Yes,Electronic check,52.8,2559.92,0
Male,0,No,Yes,71,Yes,DSL,Month-to-month,Yes,Credit card,53.22,3794.7,0
Female,0,No,No,29,Yes,No,Month-to-month,Yes,Mailed check,25.76,794.38,0
Female,0,No,Yes,31,Yes,DSL,Month-to-month,Yes,Electronic check,62.55,1923.72,0
Female,1,Yes,No,41,Yes,Fiber optic,One year,Yes,Mailed check,78.38,3234.18,0
Male,0,No,No,29,Yes,Fiber optic,Month-to-month,No,Credit card,90.85,2603.59,1
Female,0,No,No,57,Yes,Fiber optic,One year,No,Mailed check,70.4,4068.31,0
Female,0,No,No,31,Yes,No,Month-to-month,No,Mailed check,32.67,932.28,0
Male,0,Yes,No,57,Yes,Fiber optic,Month-to-month,No,Mailed check,64.19,3699.67,0
Male,0,No,No,31,Yes,DSL,Two year,No,Electronic check,61.21,1898.4,0
Female,0,Yes,Yes,17,Yes,Fiber optic,Month-to-month,No,Electronic check,64.37,1142.56,1
Male,0,Yes,Yes,72,Yes,Fiber optic,Month-to-month,No,Bank transfer,73.65,5263.77,0
Male,0,Yes,No,38,No,DSL,Month-to-month,No,Credit card,47.88,1823.94,0
Male,0,No,Yes,51,Yes,Fiber optic,Month-to-month,No,Bank transfer,73.62,3757.65,0
Female,1,No,No,43,Yes,Fiber optic,Month-to-month,No,Electronic check,73.12,3165.85,0
Female,0,Yes,No,26,Yes,DSL,Month-to-month,Yes,Mailed check,43.69,1083.56,1
Male,0,No,No,70,Yes,No,Month-to-month,Yes,Electronic check,22.83,1629.91,0
Female,0,Yes,Yes,27,Yes,Fiber optic,Two year,Yes,Electronic check,82.33,2130.62,0
Male,0,Yes,No,72,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,73.74,5275.89,1
Female,0,No,No,32,Yes,DSL,Month-to-month,Yes,Electronic check,39.69,1191.94,1
Female,0,No,Yes,2,Yes,DSL,Two year,Yes,Credit card,58.76,158.93,0
Female,0,No,No,3,Yes,Fiber optic,Month-to-month,Yes,Mailed check,62.87,208.62,1
Male,0,No,No,71,Yes,Fiber optic,Two year,Yes,Bank transfer,75.95,5415.25,0
Female,0,Yes,No,39,Yes,Fiber optic,Month-to-month,No,Credit card,74.43,2976.43,0
Male,0,No,No,28,Yes,Fiber optic,One year,Yes,Bank transfer,74.93,2082.24,1
Female,0,Yes,Yes,59,Yes,DSL,Two year,Yes,Credit card,64.83,3855.45,0
Male,0,No,No,45,Yes,Fiber optic,Month-to-month,Yes,Credit card,63.37,2854.95,0
Male,0,Yes,No,48,Yes,Fiber optic,Two year,Yes,Bank transfer,74.89,3590.41,0
Male,0,Yes,Yes,50,No,Fiber optic,One year,No,Electronic check,80.08,4069.33,0
Female,0,Yes,No,15,No,Fiber optic,Two year,No,Electronic check,64.85,1076.84,1
Male,0,No,Yes,7,Yes,No,Month-to-month,Yes,Credit card,19.03,111.64,0
Female,1,Yes,Yes,53,Yes,DSL,Month-to-month,Yes,Electronic check,52.7,2834.79,0
Male,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Credit card,72.6,161.16,1
Male,0,No,Yes,52,Yes,No,Two year,No,Electronic check,18.0,952.56,0
Female,1,Yes,No,10,Yes,Fiber optic,Month-to-month,No,Bank transfer,79.41,806.46,1
Male,0,No,Yes,19,Yes,DSL,Month-to-month,No,Electronic check,38.73,719.22,0
Female,0,Yes,No,51,Yes,No,Two year,Yes,Credit card,35.35,1623.6,0
Female,1,Yes,Yes,45,No,DSL,Month-to-month,No,Electronic check,59.11,2736.69,0
Male,0,No,No,57,Yes,DSL,One year,No,Mailed check,65.31,3687.93,0
Male,0,Yes,Yes,44,Yes,DSL,Month-to-month,No,Credit card,55.35,2423.32,1
Male,0,Yes,No,4,Yes,Fiber optic,One year,Yes,Electronic check,67.56,259.23,0
Female,0,Yes,Yes,61,Yes,Fiber optic,Month-to-month,Yes,Electronic check,63.61,3841.02,0
Female,0,No,Yes,16,No,Fiber optic,Month-to-month,Yes,Credit card,71.91,1162.57,1
Male,1,Yes,No,10,Yes,No,Month-to-month,Yes,Credit card,29.76,295.38,0
Male,1,Yes,No,64,Yes,Fiber optic,Month-to-month,No,Electronic check,84.49,5371.53,0
Male,0,No,No,15,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,62.57,946.02,0
Male,0,Yes,Yes,39,Yes,No,Month-to-month,Yes,Electronic check,41.17,1603.98,0
Female,0,No,Yes,35,Yes,Fiber optic,One year,No,Electronic check,80.2,2853.39,0
Female,1,Yes,No,56,Yes,DSL,Month-to-month,Yes,Bank transfer,53.37,2921.7,0
Male,0,No,No,4,Yes,DSL,Month-to-month,No,Electronic check,64.38,217.25,1
Female,1,No,Yes,8,Yes,Fiber optic,Month-to-month,No,Mailed check,68.73,586.1,0
Male,0,Yes,No,30,Yes,No,Month-to-month,No,Electronic check,26.64,767.21,0
Male,0,Yes,No,35,Yes,Fiber optic,One year,No,Credit card,59.79,2047.48,0
Female,0,No,No,57,Yes,DSL,Month-to-month,Yes,Bank transfer,64.77,3662.38,1
Female,0,No,No,44,Yes,Fiber optic,Two year,Yes,Electronic check,56.82,2495.03,1
Female,0,Yes,No,11,Yes,Fiber optic,One year,No,Credit card,58.48,638.42,0
Male,0,No,Yes,71,Yes,Fiber optic,Two year,Yes,Credit card,64.92,4598.82,0
Male,1,Yes,No,34,Yes,No,One year,Yes,Electronic check,40.58,1328.29,0
Male,0,No,Yes,70,No,Fiber optic,Month-to-month,No,Credit card,77.64,5473.46,0
Male,0,No,No,72,Yes,Fiber optic,Two year,Yes,Electronic check,70.98,5176.87,0
Female,0,No,No,4,Yes,Fiber optic,One year,Yes,Electronic check,78.15,217.08,0
Female,0,No,No,37,Yes,Fiber optic,One year,Yes,Mailed check,69.08,2478.28,0
Male,1,Yes,Yes,31,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.38,2479.92,1
Female,0,No,Yes,36,Yes,Fiber optic,Month-to-month,No,Bank transfer,83.21,3074.05,1
Male,0,No,No,23,Yes,Fiber optic,One year,Yes,Bank transfer,68.03,1458.23,0
Female,0,No,No,41,Yes,Fiber optic,Month-to-month,Yes,Credit card,63.87,2659.44,0
Male,1,No,No,36,No,Fiber optic,One year,Yes,Electronic check,78.76,2917.25,0
Male,0,No,No,14,Yes,DSL,Month-to-month,No,Electronic check,55.92,739.76,0
Female,1,No,No,21,Yes,Fiber optic,Month-to-month,Yes,Mailed check,75.88,1672.46,0
Male,0,No,Yes,11,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.03,849.43,0
Male,0,No,No,61,Yes,DSL,Month-to-month,No,Credit card,48.39,2967.52,0
Male,1,Yes,Yes,49,Yes,DSL,Month-to-month,Yes,Bank transfer,56.02,2709.02,1
Male,1,Yes,No,28,Yes,DSL,Two year,No,Bank transfer,58.0,1674.05,0
Male,1,Yes,Yes,29,Yes,No,One year,Yes,Bank transfer,32.3,978.42,0
Male,0,Yes,Yes,6,Yes,No,Two year,Yes,Electronic check,37.91,313.7,0
Female,0,Yes,No,21,Yes,Fiber optic,One year,Yes,Electronic check,72.96,1604.19,0
Female,0,Yes,No,67,Yes,Fiber optic,One year,No,Mailed check,67.57,4526.73,0
Male,0,Yes,Yes,3,Yes,Fiber optic,Month-to-month,Yes,Credit card,74.22,378.08,0
Male,1,No,Yes,11,Yes,Fiber optic,Two year,Yes,Electronic check,83.07,981.31,1
Female,1,Yes,No,61,Yes,No,Two year,Yes,Electronic check,36.19,2234.62,0
Female,0,No,Yes,38,Yes,DSL,One year,Yes,Bank transfer,55.75,2068.64,0
Female,0,Yes,Yes,3,Yes,DSL,Month-to-month,No,Electronic check,38.02,37.56,1
Female,0,Yes,No,36,Yes,Fiber optic,One year,No,Mailed check,50.06,1729.91,1
Female,0,No,Yes,54,Yes,DSL,Month-to-month,Yes,Electronic check,60.2,3204.12,0
Male,0,No,No,25,Yes,Fiber optic,Month-to-month,Yes,Mailed check,73.51,1906.62,1
Male,0,No,No,28,Yes,Fiber optic,One year,Yes,Mailed check,69.83,1979.59,0
Female,0,No,Yes,46,No,DSL,Two year,No,Credit card,55.55,2524.63,0
Female,0,No,Yes,44,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,85.42,3751.69,0
Male,0,No,Yes,66,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.31,5353.57,1
Female,0,Yes,Yes,18,No,No,Two year,No,Bank transfer,32.7,628.6,0
Male,1,No,Yes,20,Yes,Fiber optic,Month-to-month,No,Bank transfer,67.91,1314.26,1
Female,0,No,No,12,Yes,DSL,Month-to-month,Yes,Bank transfer,43.95,544.88,1
Female,0,Yes,No,48,Yes,Fiber optic,One year,Yes,Credit card,50.91,2458.68,0
Male,0,Yes,No,39,Yes,Fiber optic,Two year,No,Credit card,75.07,2885.29,0
Male,0,No,No,25,Yes,Fiber optic,Month-to-month,No,Electronic check,78.87,2051.15,1
Male,1,Yes,No,51,Yes,Fiber optic,Month-to-month,Yes,Mailed check,84.52,4295.74,0
Female,0,No,No,28,Yes,DSL,Month-to-month,Yes,Electronic check,55.4,1501.56,0
Female,0,Yes,Yes,15,Yes,Fiber optic,Month-to-month,Yes,Mailed check,68.77,1074.19,0
Male,1,Yes,Yes,39,Yes,Fiber optic,One year,Yes,Credit card,70.49,2751.83,0
Male,1,Yes,Yes,32,No,DSL,Two year,Yes,Bank transfer,48.4,1569.22,0
Female,0,No,Yes,30,Yes,Fiber optic,Month-to-month,No,Electronic check,68.69,2001.47,0
Male,0,Yes,Yes,33,Yes,No,Month-to-month,Yes,Credit card,18.0,634.62,0
Male,0,No,No,66,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,84.05,5655.92,0
Male,0,No,No,16,Yes,DSL,Month-to-month,No,Electronic check,39.58,570.14,0
Female,0,Yes,Yes,20,Yes,Fiber optic,Month-to-month,Yes,Credit card,68.42,1386.11,0
Female,0,No,No,41,Yes,DSL,Month-to-month,Yes,Electronic check,34.51,1375.64,0
Male,1,Yes,No,4,Yes,Fiber optic,One year,No,Mailed check,77.37,443.96,0
Female,0,No,No,11,Yes,Fiber optic,Month-to-month,Yes,Mailed check,69.98,831.76,0
Female,0,Yes,No,41,Yes,DSL,One year,No,Credit card,47.15,1947.26,0
Male,0,Yes,Yes,37,Yes,DSL,Month-to-month,Yes,Electronic check,42.54,1512.59,0
Female,0,No,No,48,Yes,No,Two year,Yes,Electronic check,25.02,1151.66,0
Female,0,No,No,9,Yes,DSL,Two year,No,Bank transfer,45.64,448.07,0
Male,1,No,No,62,Yes,Fiber optic,Month-to-month,Yes,Credit card,73.91,4514.3,0
Male,1,No,No,35,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.66,3106.54,0
Female,0,Yes,No,12,No,Fiber optic,One year,Yes,Electronic check,71.38,857.0,0
Female,0,Yes,Yes,23,Yes,DSL,Month-to-month,Yes,Credit card,54.26,1254.65,0
Male,0,Yes,Yes,17,Yes,DSL,Month-to-month,Yes,Bank transfer,46.28,805.76,0
Female,0,No,No,33,Yes,DSL,Month-to-month,No,Electronic check,43.72,1420.78,0
Female,1,Yes,Yes,34,Yes,Fiber optic,Two year,Yes,Mailed check,74.82,2589.89,0
Male,0,Yes,No,32,Yes,No,Month-to-month,Yes,Mailed check,45.03,1397.87,0
Female,0,Yes,No,34,Yes,No,Month-to-month,Yes,Bank transfer,22.7,803.13,0
Male,0,Yes,No,66,Yes,DSL,Month-to-month,Yes,Bank transfer,52.89,3501.45,0
Female,0,Yes,Yes,70,Yes,DSL,One year,Yes,Bank transfer,43.37,3065.93,0
Male,0,Yes,No,36,No,DSL,Month-to-month,Yes,Electronic check,27.96,1065.66,0
Male,0,Yes,Yes,70,No,No,Two year,No,Credit card,18.68,1284.83,0
Female,0,No,Yes,59,Yes,DSL,One year,Yes,Electronic check,69.05,4040.9,0
Male,0,Yes,Yes,60,Yes,DSL,Month-to-month,Yes,Credit card,54.76,3201.18,0
Female,0,Yes,No,17,Yes,Fiber optic,Month-to-month,No,Electronic check,83.13,1312.26,1
Male,0,No,No,32,Yes,Fiber optic,Two year,Yes,Electronic check,67.22,2142.24,0
Female,0,Yes,Yes,26,Yes,DSL,One year,Yes,Electronic check,31.15,804.52,0
Female,1,Yes,No,7,Yes,Fiber optic,Month-to-month,No,Electronic check,66.13,408.61,0
Female,0,Yes,Yes,6,Yes,DSL,Month-to-month,No,Mailed check,53.18,275.53,0
Male,0,Yes,No,45,Yes,DSL,Month-to-month,Yes,Bank transfer,51.9,2411.67,0
Male,0,No,Yes,31,Yes,DSL,Month-to-month,Yes,Credit card,49.92,1591.31,0
Female,0,Yes,No,60,Yes,DSL,Month-to-month,Yes,Mailed check,45.76,2682.52,0
Female,0,Yes,No,49,Yes,No,Month-to-month,Yes,Mailed check,32.52,1571.36,0
Female,0,Yes,No,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,65.99,482.23,1
Male,1,Yes,Yes,61,Yes,Fiber optic,Two year,No,Credit card,77.46,4693.74,0
Female,0,No,No,36,Yes,DSL,One year,No,Electronic check,51.56,1815.73,0
Male,0,Yes,No,41,No,Fiber optic,Two year,No,Electronic check,67.05,2732.14,0
Male,0,No,No,70,Yes,No,One year,Yes,Electronic check,18.0,1314.53,0
Female,0,No,No,47,No,DSL,One year,Yes,Electronic check,46.58,2248.33,0
Male,0,No,No,2,Yes,No,Month-to-month,Yes,Bank transfer,39.99,43.21,1
Female,0,No,Yes,13,Yes,Fiber optic,One year,Yes,Electronic check,78.9,1048.73,1
Male,0,No,No,31,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.16,2422.64,1
Male,0,No,Yes,3,Yes,DSL,Month-to-month,No,Credit card,43.71,80.72,0
Male,1,No,No,13,Yes,Fiber optic,Two year,Yes,Electronic check,63.5,810.65,0
Female,0,Yes,Yes,58,Yes,Fiber optic,Two year,Yes,Bank transfer,78.77,4505.45,0
Female,1,Yes,Yes,11,Yes,No,Month-to-month,Yes,Mailed check,37.24,467.79,0
Female,0,Yes,No,13,Yes,No,One year,No,Credit card,26.1,416.92,0
Female,0,No,No,37,No,Fiber optic,Month-to-month,Yes,Bank transfer,67.04,2459.95,0
Female,0,No,No,7,No,No,Month-to-month,No,Electronic check,18.0,93.55,1
Female,0,Yes,No,19,Yes,No,Month-to-month,No,Credit card,31.94,659.59,0
Female,0,Yes,Yes,68,Yes,Fiber optic,Month-to-month,Yes,Mailed check,79.49,5466.13,0
Male,0,Yes,Yes,46,Yes,DSL,One year,No,Electronic check,44.57,1994.5,0
Male,0,No,No,70,Yes,DSL,Month-to-month,Yes,Bank transfer,43.9,3065.6,0
Male,1,No,No,26,Yes,DSL,Month-to-month,Yes,Bank transfer,64.93,1685.23,0
Male,0,No,No,45,Yes,DSL,Two year,Yes,Electronic check,44.87,1980.61,0
Female,0,Yes,No,18,Yes,No,Month-to-month,Yes,Mailed check,39.23,725.44,0
Male,0,Yes,No,28,Yes,DSL,Month-to-month,No,Electronic check,49.13,1340.64,0
Male,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,No,Bank transfer,66.91,842.82,1
Female,1,No,No,60,Yes,Fiber optic,Month-to-month,Yes,Credit card,75.36,4516.53,0
Female,0,No,No,14,Yes,Fiber optic,Month-to-month,Yes,Mailed check,66.91,862.29,1
Female,0,No,No,15,Yes,DSL,One year,Yes,Credit card,59.01,782.33,0
Male,0,Yes,Yes,34,Yes,Fiber optic,Two year,Yes,Electronic check,77.09,2666.97,0
Male,0,Yes,No,31,Yes,Fiber optic,Month-to-month,No,Bank transfer,78.7,2402.68,0
Female,0,No,No,23,No,Fiber optic,Month-to-month,Yes,Credit card,71.48,1750.78,1
Male,0,Yes,Yes,26,Yes,DSL,Month-to-month,No,Bank transfer,46.35,1303.69,0
Male,0,No,No,22,Yes,Fiber optic,Two year,Yes,Electronic check,69.93,1513.14,1
Male,0,Yes,Yes,66,Yes,DSL,Month-to-month,No,Electronic check,46.59,3191.89,0
Female,0,Yes,No,42,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.73,3479.54,1
Female,0,No,No,67,Yes,Fiber optic,Two year,Yes,Bank transfer,78.02,5195.07,0
Female,0,Yes,No,72,Yes,DSL,One year,No,Credit card,49.27,3418.35,0
Female,0,Yes,Yes,47,Yes,Fiber optic,Month-to-month,Yes,Mailed check,62.59,2976.14,0
Female,1,No,Yes,60,Yes,DSL,Month-to-month,Yes,Electronic check,67.33,4041.36,0
Male,0,Yes,Yes,8,Yes,No,Month-to-month,No,Electronic check,26.09,230.29,0
Female,0,Yes,No,69,Yes,No,Two year,Yes,Bank transfer,23.96,1641.8,0
Male,1,No,Yes,35,Yes,DSL,Month-to-month,Yes,Bank transfer,67.4,2301.81,0
Male,0,Yes,No,52,Yes,DSL,Month-to-month,Yes,Electronic check,45.92,2366.49,0
Female,0,Yes,Yes,18,Yes,DSL,One year,Yes,Bank transfer,47.45,889.43,0
Male,0,Yes,Yes,7,Yes,No,Month-to-month,No,Electronic check,23.15,144.33,0
Male,0,Yes,No,64,Yes,Fiber optic,Month-to-month,No,Bank transfer,59.47,3788.06,0
Male,1,Yes,No,33,Yes,DSL,Two year,Yes,Mailed check,57.53,1822.52,0
Female,0,No,No,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,63.9,643.56,1
Male,0,Yes,No,48,Yes,DSL,Two year,Yes,Bank transfer,45.43,2125.04,0
Male,0,Yes,No,4,Yes,Fiber optic,One year,Yes,Bank transfer,64.36,303.37,1
Female,0,Yes,No,33,Yes,Fiber optic,Month-to-month,No,Mailed check,65.3,2118.19,0
Male,0,Yes,No,51,Yes,DSL,One year,Yes,Bank transfer,43.29,2193.0,0
Female,0,No,Yes,52,Yes,Fiber optic,One year,No,Mailed check,71.98,3851.16,0
Female,0,Yes,No,33,Yes,DSL,One year,Yes,Electronic check,48.76,1593.75,0
Female,0,Yes,No,27,Yes,Fiber optic,One year,No,Credit card,70.38,1878.23,0
Male,0,Yes,Yes,61,Yes,Fiber optic,Month-to-month,Yes,Credit card,88.83,5447.91,0
Male,0,Yes,No,14,Yes,No,Month-to-month,Yes,Electronic check,23.76,243.38,1
Male,0,Yes,No,6,Yes,Fiber optic,One year,No,Credit card,74.84,511.58,1
Female,0,No,No,12,Yes,No,Month-to-month,Yes,Bank transfer,30.75,418.7,0
Male,0,No,Yes,58,No,DSL,Month-to-month,Yes,Electronic check,49.5,2897.22,0
Male,0,Yes,No,34,Yes,No,Month-to-month,No,Mailed check,27.19,755.61,0
Male,0,No,No,3,Yes,DSL,Month-to-month,No,Electronic check,50.17,137.54,1
Female,0,Yes,Yes,13,Yes,Fiber optic,One year,Yes,Bank transfer,71.62,867.42,0
Male,0,Yes,No,3,Yes,DSL,Two year,No,Credit card,45.31,192.14,1
Female,0,No,Yes,59,No,No,Two year,Yes,Mailed check,21.05,1294.58,0
Male,0,No,Yes,34,Yes,No,Month-to-month,No,Mailed check,25.14,874.16,0
Male,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,54.22,210.94,1
Male,0,No,No,16,No,Fiber optic,Two year,Yes,Mailed check,81.97,1386.23,0
Female,0,Yes,No,45,Yes,Fiber optic,Month-to-month,Yes,Credit card,87.29,3914.94,0
Male,0,No,Yes,43,Yes,DSL,One year,No,Electronic check,51.36,2298.75,0
Male,0,No,No,59,Yes,Fiber optic,One year,No,Bank transfer,75.32,4457.15,0
Female,0,No,Yes,2,Yes,Fiber optic,Month-to-month,Yes,Mailed check,78.65,182.64,0
Female,0,No,No,5,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,59.4,273.98,1
Female,0,No,Yes,3,Yes,DSL,One year,Yes,Bank transfer,57.43,242.64,0
Female,0,No,Yes,29,Yes,No,Month-to-month,Yes,Bank transfer,21.59,656.53,1
Male,0,No,No,53,Yes,DSL,Two year,No,Mailed check,68.33,3693.63,0
Female,0,Yes,Yes,48,Yes,Fiber optic,One year,Yes,Bank transfer,68.49,3296.4,0
Male,0,Yes,No,16,Yes,DSL,Month-to-month,No,Bank transfer,57.27,913.97,0
Female,0,Yes,Yes,48,Yes,DSL,One year,No,Bank transfer,48.57,2361.12,0
Female,0,No,No,48,No,DSL,Month-to-month,Yes,Bank transfer,67.57,3315.49,0
Female,1,Yes,No,14,Yes,DSL,Month-to-month,Yes,Credit card,50.9,763.44,0
Female,0,Yes,No,54,Yes,Fiber optic,Two year,No,Electronic check,79.32,4290.19,0
Female,0,No,Yes,31,Yes,Fiber optic,One year,No,Electronic check,75.01,2232.45,0
Female,1,Yes,No,5,Yes,Fiber optic,One year,No,Credit card,78.23,431.67,0
Female,1,No,No,29,No,Fiber optic,Two year,Yes,Electronic check,76.83,2156.13,1
Male,0,No,Yes,56,Yes,DSL,Month-to-month,Yes,Credit card,44.66,2502.71,0
Male,1,Yes,Yes,51,Yes,DSL,Month-to-month,No,Bank transfer,34.31,1744.02,1
Male,1,Yes,No,20,Yes,Fiber optic,Month-to-month,Yes,Credit card,83.6,1601.11,1
Female,0,Yes,Yes,55,Yes,Fiber optic,Month-to-month,No,Bank transfer,66.09,3653.58,0
Male,0,Yes,No,29,Yes,Fiber optic,Month-to-month,No,Credit card,79.36,2409.16,0
Male,0,Yes,No,34,Yes,DSL,Month-to-month,Yes,Bank transfer,52.81,1779.91,0
Male,0,Yes,Yes,7,Yes,Fiber optic,One year,Yes,Mailed check,79.6,595.49,0
Female,0,Yes,No,72,No,DSL,Month-to-month,Yes,Mailed check,56.42,4180.02,0
Female,0,Yes,No,61,No,Fiber optic,One year,No,Electronic check,50.28,3110.21,0
Female,0,No,Yes,15,Yes,DSL,Two year,Yes,Electronic check,54.92,791.56,0
Male,0,No,No,41,No,Fiber optic,Two year,Yes,Credit card,67.25,2769.1,0
Male,0,Yes,Yes,57,Yes,Fiber optic,Month-to-month,No,Electronic check,79.32,4545.28,0
Male,0,No,No,37,Yes,Fiber optic,Two year,No,Bank transfer,74.73,2836.7,0
Male,0,Yes,No,16,Yes,DSL,Two year,Yes,Mailed check,54.82,937.82,0
Male,0,Yes,Yes,70,No,Fiber optic,Month-to-month,No,Electronic check,67.82,4608.91,0
Female,0,Yes,No,20,No,DSL,Month-to-month,Yes,Credit card,42.7,811.19,1
Female,1,Yes,Yes,25,Yes,Fiber optic,Month-to-month,No,Electronic check,71.54,1785.0,0
Female,1,Yes,No,27,Yes,DSL,One year,No,Bank transfer,40.6,1045.44,0
Male,1,Yes,Yes,65,Yes,DSL,One year,Yes,Mailed check,50.28,3083.2,0
Male,1,Yes,No,37,Yes,Fiber optic,Month-to-month,Yes,Electronic check,63.29,2305.45,1
Female,0,Yes,No,52,Yes,DSL,One year,Yes,Electronic check,38.5,2001.82,0
Male,0,No,No,65,Yes,DSL,Month-to-month,No,Bank transfer,50.93,3284.19,0
Male,0,No,No,67,Yes,No,Month-to-month,No,Electronic check,29.27,1911.24,0
Male,0,No,No,62,Yes,Fiber optic,Two year,Yes,Credit card,69.75,4326.57,0
Female,1,No,No,66,Yes,No,Two year,No,Bank transfer,26.01,1733.81,0
Female,0,No,No,69,Yes,DSL,One year,Yes,Electronic check,42.42,2903.55,1
Male,0,Yes,No,72,No,Fiber optic,Month-to-month,No,Electronic check,67.46,4925.71,0
Female,0,Yes,No,47,Yes,Fiber optic,Month-to-month,No,Electronic check,63.42,2983.63,1
